	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene	TFs	Tclin
Serp1	6.45E-256	0.586829815	0.946	0.916	9.22E-252	3	Serp1	#N/A	#N/A
Itih21	7.37E-255	0.42106713	0.974	0.906	1.05E-250	3	Itih2	#N/A	#N/A
Rabac1	2.00E-254	0.411844866	0.578	0.251	2.86E-250	3	Rabac1	#N/A	#N/A
Derl1	1.05E-253	0.62349759	0.813	0.582	1.50E-249	3	Derl1	#N/A	#N/A
Stt3a	1.37E-252	0.338124301	0.578	0.242	1.95E-248	3	Stt3a	#N/A	#N/A
Ddost	1.71E-250	0.501055732	0.825	0.582	2.45E-246	3	Ddost	#N/A	#N/A
Psmd2	2.64E-246	0.294891488	0.51	0.193	3.77E-242	3	Psmd2	#N/A	#N/A
Eif4g1	3.20E-244	0.319483936	0.565	0.233	4.58E-240	3	Eif4g1	#N/A	#N/A
Bckdha	1.15E-243	0.29634648	0.445	0.157	1.64E-239	3	Bckdha	#N/A	#N/A
Rpl4	2.10E-243	0.431361515	0.931	0.836	3.00E-239	3	Rpl4	#N/A	#N/A
Tm9sf3	1.67E-242	0.330494038	0.623	0.278	2.39E-238	3	Tm9sf3	#N/A	#N/A
Nupr1	5.00E-241	0.593699772	0.197	0.034	7.14E-237	3	Nupr1	#N/A	#N/A
Atf5	6.69E-241	0.647583671	0.739	0.482	9.56E-237	3	Atf5	ATF5	#N/A
Eef1g	4.95E-240	0.424148527	0.825	0.565	7.07E-236	3	Eef1g	#N/A	#N/A
Mcfd2	6.21E-239	0.48920538	0.866	0.671	8.87E-235	3	Mcfd2	#N/A	#N/A
Ccdc47	7.52E-238	0.329849996	0.536	0.221	1.08E-233	3	Ccdc47	#N/A	#N/A
Tram1	8.28E-237	0.402501755	0.792	0.525	1.18E-232	3	Tram1	#N/A	#N/A
Serpina6	5.77E-236	0.355715888	0.259	0.06	8.25E-232	3	Serpina6	#N/A	#N/A
Odc1	7.23E-236	0.24968201	0.357	0.107	1.03E-231	3	Odc1	#N/A	ODC1
Sec63	1.53E-234	0.276509024	0.418	0.141	2.18E-230	3	Sec63	#N/A	#N/A
Eif3b	8.71E-233	0.246276934	0.401	0.131	1.25E-228	3	Eif3b	#N/A	#N/A
Ctsd	1.29E-232	0.412820543	0.821	0.565	1.84E-228	3	Ctsd	#N/A	#N/A
Mlec	1.72E-232	0.276104761	0.456	0.165	2.46E-228	3	Mlec	#N/A	#N/A
Rpl18a	2.30E-230	0.510763719	0.988	0.975	3.28E-226	3	Rpl18a	#N/A	#N/A
Lrrc59	1.66E-227	0.254629166	0.381	0.123	2.38E-223	3	Lrrc59	#N/A	#N/A
Golgb11	2.79E-227	0.297062373	0.507	0.202	3.98E-223	3	Golgb1	#N/A	#N/A
Eif3c	1.51E-226	0.41318505	0.734	0.442	2.16E-222	3	Eif3c	#N/A	#N/A
Selenom	4.59E-226	0.282827589	0.351	0.106	6.56E-222	3	Selenom	#N/A	#N/A
Iqgap21	1.06E-224	0.311875263	0.541	0.227	1.52E-220	3	Iqgap2	#N/A	#N/A
Rplp1	2.98E-223	0.444168038	0.984	0.944	4.25E-219	3	Rplp1	#N/A	#N/A
Snd1	6.59E-223	0.232442085	0.343	0.103	9.43E-219	3	Snd1	#N/A	#N/A
H2-K11	7.00E-223	0.398952209	0.994	0.979	1.00E-218	3	H2-K1	#N/A	#N/A
Spcs3	4.14E-221	0.270097656	0.481	0.183	5.92E-217	3	Spcs3	#N/A	#N/A
Edem1	9.51E-221	0.29911102	0.534	0.223	1.36E-216	3	Edem1	#N/A	#N/A
Dnajb9	2.72E-220	0.332519945	0.469	0.184	3.89E-216	3	Dnajb9	#N/A	#N/A
Gps1	2.33E-218	0.297017642	0.502	0.205	3.34E-214	3	Gps1	#N/A	#N/A
Mfge8	6.68E-217	0.355498807	0.44	0.166	9.55E-213	3	Mfge8	#N/A	#N/A
Txndc5	7.79E-216	0.370913402	0.647	0.345	1.11E-211	3	Txndc5	#N/A	#N/A
Tmem214	1.15E-215	0.216125066	0.336	0.101	1.65E-211	3	Tmem214	#N/A	#N/A
Atp2a2	1.49E-215	0.284211919	0.394	0.135	2.13E-211	3	Atp2a2	#N/A	#N/A
App	3.10E-215	0.294443953	0.392	0.135	4.43E-211	3	App	#N/A	#N/A
Anxa7	2.67E-214	0.297007242	0.506	0.207	3.82E-210	3	Anxa7	#N/A	#N/A
Sdf2l1	3.86E-214	0.577866084	0.638	0.365	5.52E-210	3	Sdf2l1	#N/A	#N/A
Slc33a1	1.30E-213	0.237325699	0.379	0.126	1.86E-209	3	Slc33a1	#N/A	#N/A
Akr1a1	1.54E-212	0.398590968	0.948	0.891	2.20E-208	3	Akr1a1	#N/A	#N/A
Pebp1	1.20E-211	0.400148115	0.829	0.576	1.71E-207	3	Pebp1	#N/A	#N/A
Psmd1	1.51E-211	0.286764209	0.521	0.218	2.16E-207	3	Psmd1	#N/A	#N/A
Cd14	2.17E-210	0.43110558	0.392	0.138	3.10E-206	3	Cd14	#N/A	#N/A
Sqstm1	1.75E-209	0.735890249	0.793	0.575	2.51E-205	3	Sqstm1	#N/A	#N/A
Gm269171	1.80E-209	0.67380554	0.592	0.32	2.57E-205	3	Gm26917	#N/A	#N/A
Smim14	8.89E-209	0.465336357	0.775	0.539	1.27E-204	3	Smim14	#N/A	#N/A
Hsp90aa1	8.91E-208	0.304919569	0.477	0.191	1.27E-203	3	Hsp90aa1	#N/A	#N/A
Uso1	2.33E-206	0.241458547	0.35	0.113	3.32E-202	3	Uso1	#N/A	#N/A
Cope	1.42E-205	0.501403165	0.849	0.76	2.03E-201	3	Cope	#N/A	#N/A
Arcn1	1.07E-204	0.288412658	0.562	0.248	1.53E-200	3	Arcn1	#N/A	#N/A
Malat11	2.39E-203	0.378633259	0.962	0.88	3.42E-199	3	Malat1	#N/A	#N/A
Atf6	2.86E-202	0.214492532	0.289	0.082	4.08E-198	3	Atf6	ATF6	#N/A
Erp29	4.81E-202	0.424467999	0.72	0.464	6.87E-198	3	Erp29	#N/A	#N/A
Stt3b	9.87E-202	0.24463492	0.421	0.156	1.41E-197	3	Stt3b	#N/A	#N/A
Dst	1.93E-201	0.237683373	0.317	0.097	2.76E-197	3	Dst	#N/A	#N/A
Map2k2	2.14E-201	0.3886933	0.765	0.506	3.06E-197	3	Map2k2	#N/A	MAP2K2
Osgin11	2.12E-200	0.381645311	0.576	0.275	3.03E-196	3	Osgin1	#N/A	#N/A
Eef1b2	8.14E-198	0.414381041	0.939	0.855	1.16E-193	3	Eef1b2	#N/A	#N/A
Ubxn4	9.69E-198	0.38061257	0.723	0.443	1.38E-193	3	Ubxn4	#N/A	#N/A
Copb1	2.19E-197	0.265339629	0.439	0.171	3.13E-193	3	Copb1	#N/A	#N/A
Agpat3	2.62E-197	0.244468942	0.424	0.16	3.74E-193	3	Agpat3	#N/A	#N/A
Tm9sf2	2.67E-197	0.285659248	0.565	0.259	3.82E-193	3	Tm9sf2	#N/A	#N/A
Riok3	6.32E-196	0.269294432	0.466	0.186	9.04E-192	3	Riok3	#N/A	#N/A
S100g	2.86E-195	0.421449606	0.189	0.038	4.08E-191	3	S100g	#N/A	#N/A
mt-Cytb1	9.56E-194	0.343054854	0.998	0.986	1.37E-189	3	mt-Cytb	#N/A	#N/A
Sord	1.03E-193	0.517990364	0.753	0.563	1.47E-189	3	Sord	#N/A	#N/A
Slc35b1	1.06E-192	0.488022219	0.762	0.546	1.51E-188	3	Slc35b1	#N/A	#N/A
Rrbp11	1.59E-192	0.351906794	0.985	0.956	2.27E-188	3	Rrbp1	#N/A	#N/A
Serpinb6a	6.80E-192	0.444538713	0.452	0.189	9.72E-188	3	Serpinb6a	#N/A	#N/A
Creg11	9.22E-192	0.497431847	0.936	0.9	1.32E-187	3	Creg1	#N/A	#N/A
Nags	1.12E-191	0.269774205	0.457	0.185	1.60E-187	3	Nags	#N/A	#N/A
Ddb1	2.95E-191	0.231566239	0.393	0.143	4.22E-187	3	Ddb1	#N/A	#N/A
Hspa9	4.56E-191	0.461881574	0.806	0.61	6.51E-187	3	Hspa9	#N/A	#N/A
Guk1	5.24E-190	0.40139685	0.74	0.492	7.49E-186	3	Guk1	#N/A	#N/A
Syvn1	2.18E-189	0.218012641	0.307	0.094	3.12E-185	3	Syvn1	#N/A	#N/A
Dus1l	3.19E-189	0.241191164	0.391	0.143	4.55E-185	3	Dus1l	#N/A	#N/A
Serinc1	5.98E-189	0.256476384	0.498	0.212	8.55E-185	3	Serinc1	#N/A	#N/A
Psmd3	6.28E-189	0.230508281	0.363	0.127	8.97E-185	3	Psmd3	#N/A	#N/A
Leprotl1	1.43E-187	0.256299068	0.485	0.203	2.05E-183	3	Leprotl1	#N/A	#N/A
Tmed5	2.50E-187	0.293065302	0.586	0.285	3.58E-183	3	Tmed5	#N/A	#N/A
Sel1l	2.57E-187	0.226055522	0.318	0.102	3.67E-183	3	Sel1l	#N/A	#N/A
Mtdh	4.00E-187	0.301387992	0.641	0.332	5.72E-183	3	Mtdh	#N/A	#N/A
Reep5	3.30E-186	0.397958719	0.747	0.497	4.72E-182	3	Reep5	#N/A	#N/A
Prkcsh	7.62E-185	0.335923658	0.705	0.425	1.09E-180	3	Prkcsh	#N/A	#N/A
Fkbp11	2.20E-184	0.64522158	0.886	0.826	3.15E-180	3	Fkbp11	#N/A	#N/A
Srp9	4.03E-184	0.361412182	0.963	0.946	5.76E-180	3	Srp9	#N/A	#N/A
Magt1	1.61E-183	0.236165838	0.44	0.175	2.31E-179	3	Magt1	#N/A	#N/A
1810058I24Rik	1.81E-183	0.448411534	0.77	0.52	2.58E-179	3	1810058I24Rik	#N/A	#N/A
Ifrd2	2.37E-181	0.251842984	0.329	0.111	3.38E-177	3	Ifrd2	#N/A	#N/A
Csn3	4.33E-181	0.424929186	0.357	0.131	6.18E-177	3	Csn3	#N/A	#N/A
Dnajc1	1.02E-179	0.249641539	0.419	0.166	1.46E-175	3	Dnajc1	#N/A	#N/A
Pgm3	3.05E-178	0.230718703	0.364	0.132	4.35E-174	3	Pgm3	#N/A	#N/A
Pdia6	9.75E-178	0.533803104	0.941	0.952	1.39E-173	3	Pdia6	#N/A	#N/A
Sys1	1.82E-177	0.225611675	0.386	0.144	2.60E-173	3	Sys1	#N/A	#N/A
Anxa2	2.27E-177	0.536905064	0.78	0.568	3.25E-173	3	Anxa2	#N/A	#N/A
Copa	3.01E-177	0.21808738	0.373	0.136	4.30E-173	3	Copa	#N/A	#N/A
Rab2a	9.71E-177	0.369249754	0.78	0.554	1.39E-172	3	Rab2a	#N/A	#N/A
Spint2	1.36E-176	0.344822295	0.746	0.492	1.94E-172	3	Spint2	#N/A	#N/A
Tmem248	3.88E-176	0.256939439	0.491	0.215	5.54E-172	3	Tmem248	#N/A	#N/A
Agmat	7.91E-176	0.240422167	0.428	0.173	1.13E-171	3	Agmat	#N/A	#N/A
Cldn2	1.04E-174	0.224976439	0.396	0.151	1.48E-170	3	Cldn2	#N/A	#N/A
Rexo2	3.81E-173	0.415159873	0.837	0.66	5.44E-169	3	Rexo2	#N/A	#N/A
Eif3d	5.43E-173	0.240839063	0.438	0.18	7.76E-169	3	Eif3d	#N/A	#N/A
Tpr	6.06E-173	0.285546016	0.588	0.291	8.66E-169	3	Tpr	#N/A	#N/A
Ddx24	6.44E-173	0.246146322	0.479	0.209	9.20E-169	3	Ddx24	#N/A	#N/A
Copb2	1.65E-172	0.250766456	0.488	0.214	2.35E-168	3	Copb2	#N/A	#N/A
Dcaf11	1.97E-172	0.255802965	0.507	0.228	2.82E-168	3	Dcaf11	#N/A	#N/A
Exosc5	6.59E-172	0.230149641	0.383	0.145	9.42E-168	3	Exosc5	#N/A	#N/A
Cct2	1.71E-171	0.256508298	0.508	0.228	2.44E-167	3	Cct2	#N/A	#N/A
Mia2	3.96E-171	0.325171305	0.712	0.442	5.66E-167	3	Mia2	#N/A	#N/A
Slc35c2	9.49E-171	0.212526139	0.359	0.131	1.36E-166	3	Slc35c2	#N/A	#N/A
Luc7l2	1.22E-170	0.271638673	0.457	0.197	1.75E-166	3	Luc7l2	#N/A	#N/A
Eif3a	2.77E-170	0.291872809	0.558	0.274	3.96E-166	3	Eif3a	#N/A	#N/A
Tor2a	3.18E-170	0.245141527	0.423	0.173	4.55E-166	3	Tor2a	#N/A	#N/A
Dad1	8.39E-169	0.401271975	0.939	0.908	1.20E-164	3	Dad1	#N/A	#N/A
Ppt2	1.84E-168	0.231597325	0.377	0.143	2.63E-164	3	Ppt2	#N/A	#N/A
Calu	1.99E-168	0.229118348	0.416	0.168	2.85E-164	3	Calu	#N/A	#N/A
Eif4g2	2.04E-168	0.31468306	0.679	0.384	2.91E-164	3	Eif4g2	#N/A	#N/A
Slc25a39	1.30E-167	0.344740154	0.972	0.965	1.86E-163	3	Slc25a39	#N/A	#N/A
Bdh1	2.43E-167	0.357847318	0.692	0.446	3.47E-163	3	Bdh1	#N/A	#N/A
Lpl	4.38E-167	0.332034512	0.61	0.328	6.26E-163	3	Lpl	#N/A	#N/A
Gpt2	4.41E-167	0.292569359	0.487	0.221	6.30E-163	3	Gpt2	#N/A	#N/A
Grn	8.84E-167	0.265368321	0.542	0.257	1.26E-162	3	Grn	#N/A	#N/A
Cyp1a21	1.30E-166	0.680474803	0.57	0.306	1.86E-162	3	Cyp1a2	#N/A	#N/A
Fn11	8.59E-166	0.419812011	0.875	0.728	1.23E-161	3	Fn1	#N/A	#N/A
Yrdc	1.01E-165	0.257863718	0.416	0.172	1.44E-161	3	Yrdc	#N/A	#N/A
Eif5	1.12E-165	0.431731095	0.812	0.597	1.60E-161	3	Eif5	#N/A	#N/A
Dnajc10	5.22E-165	0.221970225	0.384	0.149	7.46E-161	3	Dnajc10	#N/A	#N/A
Csde1	6.79E-165	0.221463801	0.412	0.166	9.71E-161	3	Csde1	#N/A	#N/A
Cebpb	1.59E-164	0.401924364	0.819	0.661	2.27E-160	3	Cebpb	CEBPB	#N/A
Eif4a1	3.69E-164	0.258486426	0.581	0.288	5.28E-160	3	Eif4a1	#N/A	#N/A
mt-Nd4l1	3.89E-164	0.287850168	0.996	0.973	5.57E-160	3	mt-Nd4l	#N/A	MT-ND4L
Wasl	8.67E-164	0.248311714	0.531	0.253	1.24E-159	3	Wasl	#N/A	#N/A
H2-D1	1.31E-163	0.474769699	0.941	0.918	1.87E-159	3	H2-D1	#N/A	#N/A
Ltbr	2.40E-163	0.257379258	0.502	0.231	3.44E-159	3	Ltbr	#N/A	#N/A
Eprs	7.21E-163	0.319557543	0.626	0.356	1.03E-158	3	Eprs	#N/A	#N/A
Adrm1	1.07E-162	0.354389992	0.7	0.456	1.53E-158	3	Adrm1	#N/A	#N/A
Rpl13	1.37E-162	0.424389459	0.994	0.989	1.96E-158	3	Rpl13	#N/A	#N/A
Sars	1.97E-162	0.264477149	0.475	0.213	2.82E-158	3	Sars	#N/A	#N/A
Ptp4a2	6.25E-162	0.217659734	0.41	0.165	8.93E-158	3	Ptp4a2	#N/A	#N/A
Pon2	7.36E-162	0.268584524	0.519	0.248	1.05E-157	3	Pon2	#N/A	#N/A
Rab1a	8.57E-162	0.231759519	0.507	0.231	1.22E-157	3	Rab1a	#N/A	#N/A
Cyp3a44	1.04E-160	0.224665172	0.139	0.025	1.48E-156	3	Cyp3a44	#N/A	#N/A
Cct3	1.52E-160	0.228931143	0.449	0.193	2.17E-156	3	Cct3	#N/A	#N/A
Dhrs7	3.43E-160	0.207386728	0.367	0.14	4.90E-156	3	Dhrs7	#N/A	#N/A
Eif3j1	3.56E-160	0.343328437	0.648	0.362	5.09E-156	3	Eif3j1	#N/A	#N/A
Creb3	3.57E-160	0.20051958	0.356	0.133	5.10E-156	3	Creb3	CREB3	#N/A
Hacd3	1.05E-159	0.208870832	0.39	0.155	1.50E-155	3	Hacd3	#N/A	#N/A
Rpl8	2.43E-159	0.461217368	0.947	0.942	3.48E-155	3	Rpl8	#N/A	#N/A
Serpinf21	4.11E-159	0.318433736	0.992	0.991	5.87E-155	3	Serpinf2	#N/A	#N/A
Rpl30	6.78E-159	0.302376767	0.999	0.994	9.69E-155	3	Rpl30	#N/A	#N/A
Sult1e1	3.74E-158	0.415839312	0.237	0.07	5.35E-154	3	Sult1e1	#N/A	#N/A
Kif21a1	7.18E-158	0.242231231	0.499	0.23	1.03E-153	3	Kif21a	#N/A	#N/A
Ssr2	1.64E-157	0.428352393	0.808	0.665	2.35E-153	3	Ssr2	#N/A	#N/A
Dnpep	2.08E-157	0.245606523	0.473	0.215	2.97E-153	3	Dnpep	#N/A	#N/A
Entpd5	2.28E-157	0.207832064	0.335	0.122	3.26E-153	3	Entpd5	#N/A	#N/A
Sec11c	3.84E-156	0.381539126	0.759	0.548	5.49E-152	3	Sec11c	#N/A	#N/A
Pdia3	5.01E-156	0.491571316	0.926	0.911	7.16E-152	3	Pdia3	#N/A	#N/A
C1rl	5.35E-156	0.24979303	0.485	0.223	7.64E-152	3	C1rl	#N/A	#N/A
Gars	7.40E-156	0.224651546	0.343	0.129	1.06E-151	3	Gars	#N/A	#N/A
CAAA01118383.1	7.96E-155	0.208350046	0.391	0.158	1.14E-150	3	CAAA01118383.1	#N/A	#N/A
Lman2	3.53E-154	0.308874343	0.664	0.413	5.04E-150	3	Lman2	#N/A	#N/A
Nucb1	5.12E-154	0.206584019	0.379	0.151	7.32E-150	3	Nucb1	#N/A	#N/A
Tst	1.30E-153	0.398782596	0.913	0.844	1.86E-149	3	Tst	#N/A	#N/A
Cyp2d40	1.59E-153	0.242779291	0.284	0.095	2.27E-149	3	Cyp2d40	#N/A	#N/A
Tbc1d15	1.69E-153	0.241651652	0.458	0.206	2.42E-149	3	Tbc1d15	#N/A	#N/A
Abcf1	5.08E-153	0.20655487	0.377	0.15	7.27E-149	3	Abcf1	#N/A	#N/A
Mdh2	1.13E-152	0.419226394	0.82	0.66	1.62E-148	3	Mdh2	#N/A	#N/A
Tubb6	2.76E-152	0.26781529	0.427	0.187	3.94E-148	3	Tubb6	#N/A	TUBB6
C31	1.63E-151	0.361544488	0.972	0.956	2.33E-147	3	C3	#N/A	#N/A
Rnh1	1.95E-151	0.392257369	0.663	0.446	2.78E-147	3	Rnh1	#N/A	#N/A
Eif5b	3.50E-151	0.238678981	0.496	0.232	5.00E-147	3	Eif5b	#N/A	#N/A
Cdipt	3.67E-151	0.207594664	0.391	0.16	5.25E-147	3	Cdipt	#N/A	#N/A
Mgat2	5.65E-151	0.228146454	0.379	0.154	8.08E-147	3	Mgat2	#N/A	#N/A
Stard10	5.86E-151	0.392195243	0.962	0.967	8.38E-147	3	Stard10	#N/A	#N/A
Tomm70a	1.60E-150	0.232601785	0.482	0.223	2.29E-146	3	Tomm70a	#N/A	#N/A
Abcb4	1.74E-150	0.213847295	0.337	0.127	2.49E-146	3	Abcb4	#N/A	#N/A
Ywhag	5.22E-150	0.206319895	0.324	0.119	7.45E-146	3	Ywhag	#N/A	#N/A
Pex11g	6.26E-150	0.220358567	0.433	0.19	8.95E-146	3	Pex11g	#N/A	#N/A
Nme6	1.82E-149	0.292848444	0.458	0.211	2.60E-145	3	Nme6	#N/A	#N/A
Cyp2c29	2.47E-149	0.580306402	0.393	0.174	3.53E-145	3	Cyp2c29	#N/A	#N/A
Imp3	2.66E-149	0.264576022	0.518	0.258	3.80E-145	3	Imp3	#N/A	#N/A
Mettl7b	5.69E-149	0.562933488	0.867	0.791	8.13E-145	3	Mettl7b	#N/A	#N/A
Nr2c2ap	8.34E-149	0.211117881	0.342	0.131	1.19E-144	3	Nr2c2ap	#N/A	#N/A
Actb	1.40E-148	0.437768262	0.996	0.996	2.00E-144	3	Actb	#N/A	#N/A
Kdelr1	6.57E-148	0.365611017	0.806	0.607	9.39E-144	3	Kdelr1	#N/A	#N/A
F51	2.92E-147	0.296889991	0.635	0.374	4.18E-143	3	F5	#N/A	#N/A
Meg31	4.40E-146	0.270412558	0.286	0.099	6.28E-142	3	Meg3	#N/A	#N/A
Ift20	1.92E-145	0.363542042	0.764	0.559	2.74E-141	3	Ift20	#N/A	#N/A
Ldha	1.02E-144	0.51491056	0.96	0.957	1.46E-140	3	Ldha	#N/A	#N/A
Morf4l2	1.94E-144	0.2582534	0.513	0.252	2.77E-140	3	Morf4l2	#N/A	#N/A
Chmp4b	1.96E-144	0.219041926	0.483	0.225	2.80E-140	3	Chmp4b	#N/A	#N/A
Cdk5rap3	4.39E-143	0.245605514	0.549	0.284	6.28E-139	3	Cdk5rap3	#N/A	#N/A
Epn1	6.72E-143	0.213379283	0.442	0.199	9.61E-139	3	Epn1	#N/A	#N/A
Chid1	9.62E-143	0.208920844	0.38	0.158	1.37E-138	3	Chid1	#N/A	#N/A
Mmadhc	1.21E-142	0.203392318	0.413	0.177	1.74E-138	3	Mmadhc	#N/A	#N/A
Ncl	1.49E-142	0.271993261	0.5	0.244	2.13E-138	3	Ncl	#N/A	#N/A
Srrm21	1.66E-141	0.289617883	0.684	0.435	2.37E-137	3	Srrm2	#N/A	#N/A
Cyb5b	7.49E-141	0.250859677	0.603	0.33	1.07E-136	3	Cyb5b	#N/A	#N/A
Hax1	9.83E-141	0.241736577	0.462	0.215	1.40E-136	3	Hax1	#N/A	#N/A
Eif3f	1.53E-140	0.399909866	0.7	0.499	2.19E-136	3	Eif3f	#N/A	#N/A
Rnf187	1.75E-140	0.20909607	0.414	0.181	2.50E-136	3	Rnf187	#N/A	#N/A
Rpl23	2.06E-140	0.296898702	1	0.995	2.94E-136	3	Rpl23	#N/A	#N/A
Nme1	4.85E-140	0.279928723	0.617	0.345	6.93E-136	3	Nme1	#N/A	#N/A
Sec62	1.04E-139	0.27156328	0.821	0.605	1.48E-135	3	Sec62	#N/A	#N/A
Cyp2a51	2.89E-139	0.496859762	0.463	0.225	4.14E-135	3	Cyp2a5	#N/A	#N/A
Akr1b7	3.88E-139	0.240581552	0.243	0.078	5.54E-135	3	Akr1b7	#N/A	#N/A
Pabpc1	6.33E-139	0.336384899	0.783	0.591	9.05E-135	3	Pabpc1	#N/A	#N/A
Mttp	7.25E-138	0.222344817	0.441	0.202	1.04E-133	3	Mttp	#N/A	MTTP
Ergic2	9.68E-138	0.204588111	0.425	0.189	1.38E-133	3	Ergic2	#N/A	#N/A
Wdr1	2.29E-137	0.213744121	0.402	0.176	3.27E-133	3	Wdr1	#N/A	#N/A
Pink1	4.88E-137	0.274703589	0.553	0.303	6.98E-133	3	Pink1	#N/A	#N/A
Tmed4	9.25E-137	0.261309553	0.524	0.273	1.32E-132	3	Tmed4	#N/A	#N/A
Slc48a11	1.36E-136	0.413845432	0.698	0.486	1.94E-132	3	Slc48a1	#N/A	#N/A
Gorasp2	3.02E-136	0.291343686	0.608	0.36	4.32E-132	3	Gorasp2	#N/A	#N/A
Arf6	4.22E-136	0.217353128	0.383	0.165	6.03E-132	3	Arf6	#N/A	#N/A
Pgk1	4.53E-136	0.362337637	0.897	0.815	6.47E-132	3	Pgk1	#N/A	#N/A
Paqr9	9.70E-136	0.201667803	0.189	0.052	1.39E-131	3	Paqr9	#N/A	#N/A
Pah	3.12E-135	0.369666534	0.668	0.449	4.46E-131	3	Pah	#N/A	PAH
Btg3	8.93E-135	0.22174687	0.392	0.17	1.28E-130	3	Btg3	#N/A	#N/A
Mst1	2.64E-133	0.253502903	0.582	0.326	3.78E-129	3	Mst1	#N/A	#N/A
Hint1	4.00E-133	0.289263134	0.992	0.99	5.71E-129	3	Hint1	#N/A	#N/A
Yipf5	1.14E-132	0.313779167	0.625	0.386	1.63E-128	3	Yipf5	#N/A	#N/A
Csnk1a1	3.09E-132	0.216248254	0.5	0.246	4.41E-128	3	Csnk1a1	#N/A	#N/A
Chp1	1.63E-131	0.256239317	0.596	0.34	2.33E-127	3	Chp1	#N/A	#N/A
Kif5c	7.10E-131	0.216491324	0.382	0.167	1.01E-126	3	Kif5c	#N/A	#N/A
Scn8a	2.81E-130	0.204028365	0.397	0.174	4.02E-126	3	Scn8a	#N/A	SCN8A
Gfpt1	3.96E-130	0.226509058	0.261	0.092	5.66E-126	3	Gfpt1	#N/A	#N/A
Tuba4a	4.76E-130	0.203127223	0.467	0.22	6.81E-126	3	Tuba4a	#N/A	#N/A
Itgb1	5.76E-130	0.22612566	0.497	0.247	8.23E-126	3	Itgb1	#N/A	ITGB1
Krt8	7.77E-130	0.502355084	0.928	0.886	1.11E-125	3	Krt8	#N/A	#N/A
Tax1bp1	2.04E-129	0.295867318	0.795	0.599	2.91E-125	3	Tax1bp1	#N/A	#N/A
Cltc	3.00E-129	0.203666559	0.407	0.182	4.28E-125	3	Cltc	#N/A	#N/A
Arhgdia	3.63E-129	0.234238847	0.471	0.231	5.18E-125	3	Arhgdia	#N/A	#N/A
Id1	3.02E-128	0.370783786	0.282	0.108	4.32E-124	3	Id1	#N/A	#N/A
Gcc2	3.76E-127	0.21068096	0.446	0.212	5.38E-123	3	Gcc2	#N/A	#N/A
Trp53inp11	1.36E-126	0.244513035	0.401	0.184	1.94E-122	3	Trp53inp1	#N/A	#N/A
Rps4x	1.39E-126	0.387670657	0.974	0.968	1.99E-122	3	Rps4x	#N/A	#N/A
Ephx1	1.24E-125	0.274787312	0.494	0.25	1.77E-121	3	Ephx1	#N/A	#N/A
Alas1	6.83E-125	0.245907176	0.383	0.172	9.77E-121	3	Alas1	#N/A	#N/A
Cyp2d9	7.12E-125	0.425127917	0.68	0.488	1.02E-120	3	Cyp2d9	#N/A	#N/A
Eif4ebp1	5.49E-124	0.403748878	0.725	0.551	7.84E-120	3	Eif4ebp1	#N/A	#N/A
Pdia4	5.60E-124	0.380017554	0.72	0.518	8.00E-120	3	Pdia4	#N/A	#N/A
Agt	1.41E-123	0.531489475	0.891	0.869	2.02E-119	3	Agt	#N/A	#N/A
Rpl27a	2.18E-123	0.290503582	0.946	0.887	3.12E-119	3	Rpl27a	#N/A	#N/A
Cp1	7.35E-123	0.349087035	0.932	0.917	1.05E-118	3	Cp	#N/A	#N/A
Son1	6.20E-122	0.236232055	0.536	0.287	8.86E-118	3	Son	SON	#N/A
Trib3	7.65E-122	0.338085132	0.255	0.094	1.09E-117	3	Trib3	#N/A	#N/A
Rbm42	1.02E-121	0.208265709	0.402	0.186	1.46E-117	3	Rbm42	#N/A	#N/A
Pafah1b1	3.21E-121	0.218189098	0.521	0.271	4.59E-117	3	Pafah1b1	#N/A	#N/A
Trmt112	5.59E-121	0.308384202	0.795	0.617	7.99E-117	3	Trmt112	#N/A	#N/A
Hspa4	9.72E-121	0.237776136	0.517	0.277	1.39E-116	3	Hspa4	#N/A	#N/A
Rps3a1	1.15E-120	0.311687995	0.994	0.994	1.64E-116	3	Rps3a1	#N/A	#N/A
Eif6	5.09E-120	0.358920844	0.731	0.539	7.28E-116	3	Eif6	#N/A	#N/A
Sdf4	5.57E-120	0.286145104	0.67	0.45	7.96E-116	3	Sdf4	#N/A	#N/A
C4b1	3.94E-119	0.310931227	0.707	0.493	5.64E-115	3	C4b	#N/A	#N/A
Igfbp2	4.00E-119	0.59832673	0.787	0.663	5.71E-115	3	Igfbp2	#N/A	#N/A
Nat8f2	2.70E-118	0.26430936	0.397	0.188	3.86E-114	3	Nat8f2	#N/A	#N/A
Acbd5	9.85E-118	0.211633901	0.482	0.245	1.41E-113	3	Acbd5	#N/A	#N/A
Rad23b	1.96E-117	0.20575894	0.465	0.232	2.80E-113	3	Rad23b	#N/A	#N/A
Creb3l3	2.91E-117	0.252471738	0.547	0.315	4.16E-113	3	Creb3l3	CREB3L3	#N/A
Gcgr	6.82E-117	0.257150591	0.585	0.354	9.75E-113	3	Gcgr	#N/A	GCGR
Psmd13	7.99E-117	0.256628371	0.615	0.382	1.14E-112	3	Psmd13	#N/A	#N/A
