ID	human_organism	human_gene	mouse_organism	mouse_gene
18700	human	TMEM229B	"mouse, laboratory"	Tmem229b
18701	human	SPIN4	"mouse, laboratory"	Spin4
18702	human	FAM168A	"mouse, laboratory"	Fam168a
18704	human	TMEM72	"mouse, laboratory"	Tmem72
18706	human	IFFO1	"mouse, laboratory"	Iffo1
18707	human	VSTM4	"mouse, laboratory"	Vstm4
18712	human	IGSF10	"mouse, laboratory"	Igsf10
18713	human	CFAP206	"mouse, laboratory"	Cfap206
18714	human	WDR49	"mouse, laboratory"	Wdr49
18716	human	LAYN	"mouse, laboratory"	Layn
18717	human	SRARP	"mouse, laboratory"	Srarp
18719	human	CERS3	"mouse, laboratory"	Cers3
18720	human	NLRC3	"mouse, laboratory"	Nlrc3
18721	human	SLC51B	"mouse, laboratory"	Slc51b
18724	human	HEPACAM2	"mouse, laboratory"	Hepacam2
18727	human	VMAC	"mouse, laboratory"	Vmac
18728	human	AFAP1L1	"mouse, laboratory"	Afap1l1
18736	human	BRWD3	"mouse, laboratory"	Brwd3
18739	human	WHRN	"mouse, laboratory"	Whrn
18741	human	COL14A1	"mouse, laboratory"	Col14a1
18744	human	MUSTN1	"mouse, laboratory"	Mustn1
18745	human	RFTN1	"mouse, laboratory"	Rftn1
18748	human	FOXK2	"mouse, laboratory"	Foxk2
18749	human	FAM89B	"mouse, laboratory"	Fam89b
18752	human	ERAS	"mouse, laboratory"	Eras
18754	human	GPR151	"mouse, laboratory"	Gpr151
18755	human	CLEC18B	"mouse, laboratory"	Clec18a
18759	human	PIFO	"mouse, laboratory"	Pifo
18760	human	DEUP1	"mouse, laboratory"	Deup1
18762	human	LYRM7	"mouse, laboratory"	Lyrm7
18763	human	C17orf64	"mouse, laboratory"	1700125H20Rik
18764	human	ZNF664-RFLNA	"mouse, laboratory"	Rflna
18765	human	CRTC2	"mouse, laboratory"	Crtc2
18766	human	ARHGAP30	"mouse, laboratory"	Arhgap30
18768	human	MUC6	"mouse, laboratory"	Muc6
18769	human	FFAR4	"mouse, laboratory"	Ffar4
18770	human	GPR142	"mouse, laboratory"	Gpr142
18771	human	GPR141	"mouse, laboratory"	Gpr141
18773	human	DPY19L4	"mouse, laboratory"	Dpy19l4
18775	human	RXFP4	"mouse, laboratory"	Rxfp4
18778	human	ZBTB12	"mouse, laboratory"	Zbtb12
18780	human	CHAMP1	"mouse, laboratory"	Champ1
18789	human	ZNF428	"mouse, laboratory"	Zfp428
18790	human	TMEM270	"mouse, laboratory"	Tmem270
18792	human	C1QL2	"mouse, laboratory"	C1ql2
18793	human	FAAP20	"mouse, laboratory"	Faap20
18794	human	LHFPL5	"mouse, laboratory"	Lhfpl5
18797	human	LYPD5	"mouse, laboratory"	Lypd5
18799	human	SPATA46	"mouse, laboratory"	Spata46
18800	human	LSMEM1	"mouse, laboratory"	Lsmem1
18802	human	SAMD7	"mouse, laboratory"	Samd7
18804	human	TMEM255B	"mouse, laboratory"	Tmem255b
18806	human	FAM131C	"mouse, laboratory"	Fam131c
18807	human	BPIFB3	"mouse, laboratory"	Bpifb3
18809	human	RFLNB	"mouse, laboratory"	Rflnb
18810	human	C1orf146	"mouse, laboratory"	1700028K03Rik
18811	human	TAFA3	"mouse, laboratory"	Tafa3
18813	human	MACC1	"mouse, laboratory"	Macc1
18814	human	GPR18	"mouse, laboratory"	Gpr18
18817	human	EMILIN3	"mouse, laboratory"	Emilin3
18818	human	TMEM150C	"mouse, laboratory"	Tmem150c
18819	human	CCNB1IP1	"mouse, laboratory"	Ccnb1ip1
18820	human	ARL13B	"mouse, laboratory"	Arl13b
18821	human	ADAMTS9	"mouse, laboratory"	Adamts9
18822	human	KMT2E	"mouse, laboratory"	Kmt2e
18826	human	GLT6D1	"mouse, laboratory"	Glt6d1
18827	human	TRIM69	"mouse, laboratory"	Trim69
18829	human	RAVER2	"mouse, laboratory"	Raver2
18830	human	RNASE9	"mouse, laboratory"	Rnase9
18831	human	PRSS38	"mouse, laboratory"	Prss38
18833	human	C11orf94	"mouse, laboratory"	1700029I15Rik
18834	human	SPINK8	"mouse, laboratory"	Spink8
18835	human	ELFN2	"mouse, laboratory"	Elfn2
18838	human	FOXI2	"mouse, laboratory"	Foxi2
18839	human	SLFN5	"mouse, laboratory"	Slfn5
18842	human	SMCO1	"mouse, laboratory"	Smco1
18846	human	RTL5	"mouse, laboratory"	Rtl5
18855	human	FRMD7	"mouse, laboratory"	Frmd7
18858	human	C16orf74	"mouse, laboratory"	1190005I06Rik
18859	human	C9orf50	"mouse, laboratory"	1700001O22Rik
18864	human	GRHL3	"mouse, laboratory"	Grhl3
18865	human	QRFPR	"mouse, laboratory"	Qrfpr
18866	human	NHS	"mouse, laboratory"	Nhs
18867	human	MPZL3	"mouse, laboratory"	Mpzl3
18868	human	STING1	"mouse, laboratory"	Sting1
18869	human	CMIP	"mouse, laboratory"	Cmip
18871	human	LONRF2	"mouse, laboratory"	Lonrf2
18873	human	CFAP20DC	"mouse, laboratory"	Cfap20dc
18874	human	MMS22L	"mouse, laboratory"	Mms22l
18875	human	CXCL17	"mouse, laboratory"	Cxcl17
18876	human	NKPD1	"mouse, laboratory"	Nkpd1
18879	human	CLEC4G	"mouse, laboratory"	Clec4g
18881	human	C11orf53	"mouse, laboratory"	1810046K07Rik
18882	human	PAQR9	"mouse, laboratory"	Paqr9
18886	human	B3GNT8	"mouse, laboratory"	B3gnt8
18887	human	FAM89A	"mouse, laboratory"	Fam89a
18889	human	C5orf34	"mouse, laboratory"	4833420G17Rik
18891	human	KLHL30	"mouse, laboratory"	Klhl30
18892	human	ZPBP2	"mouse, laboratory"	Zpbp2
18893	human	MRGPRD	"mouse, laboratory"	Mrgprd
18897	human	PLEKHG1	"mouse, laboratory"	Plekhg1
18898	human	UBE3D	"mouse, laboratory"	Ube2cbp
18901	human	RASAL3	"mouse, laboratory"	Rasal3
18902	human	ICE1	"mouse, laboratory"	Ice1
18903	human	CCDC88C	"mouse, laboratory"	Ccdc88c
18905	human	EFCAB12	"mouse, laboratory"	Efcab12
18907	human	GALNT16	"mouse, laboratory"	Galnt16
18912	human	ADAMTSL3	"mouse, laboratory"	Adamtsl3
18916	human	PCDH19	"mouse, laboratory"	Pcdh19
18920	human	FHDC1	"mouse, laboratory"	Fhdc1
18923	human	SECISBP2L	"mouse, laboratory"	Secisbp2l
18924	human	NCKAP5L	"mouse, laboratory"	Nckap5l
18927	human	CAMSAP2	"mouse, laboratory"	Camsap2
18929	human	MYH15	"mouse, laboratory"	Myh15
18930	human	TBC1D30	"mouse, laboratory"	Tbc1d30
18932	human	PKDCC	"mouse, laboratory"	Pkdcc
18935	human	RANBP6	"mouse, laboratory"	Ranbp6
18937	human	ZNF469	"mouse, laboratory"	Zfp469
18938	human	ARHGAP20	"mouse, laboratory"	Arhgap20
18939	human	PRUNE2	"mouse, laboratory"	Prune2
18941	human	MIER2	"mouse, laboratory"	Mier2
18942	human	CAMTA1	"mouse, laboratory"	Camta1
18945	human	KDM6B	"mouse, laboratory"	Kdm6b
18946	human	TANC1	"mouse, laboratory"	Tanc1
18947	human	DAPL1	"mouse, laboratory"	Dapl1
18948	human	BEX4	"mouse, laboratory"	Bex4
18949	human	STYXL2	"mouse, laboratory"	Dusp27
18950	human	MEX3A	"mouse, laboratory"	Mex3a
18952	human	SLAIN2	"mouse, laboratory"	Slain2
18953	human	LIMCH1	"mouse, laboratory"	Limch1
18956	human	SIPA1L2	"mouse, laboratory"	Sipa1l2
18957	human	PRR12	"mouse, laboratory"	Prr12
18958	human	ZSWIM5	"mouse, laboratory"	Zswim5
18966	human	CAMSAP3	"mouse, laboratory"	Camsap3
18967	human	RUSC2	"mouse, laboratory"	Rusc2
18968	human	RIMKLB	"mouse, laboratory"	Rimklb
18969	human	HAUS5	"mouse, laboratory"	Haus5
18970	human	KIF26A	"mouse, laboratory"	Kif26a
18975	human	ZNF618	"mouse, laboratory"	Zfp618
18981	human	ATG16L2	"mouse, laboratory"	Atg16l2
18982	human	LRRK2	"mouse, laboratory"	Lrrk2
18983	human	ZNF787	"mouse, laboratory"	Zfp787
18986	human	C1orf194	"mouse, laboratory"	1700013F07Rik
18988	human	C2orf73	"mouse, laboratory"	4930505A04Rik
18989	human	CCDC173	"mouse, laboratory"	Ccdc173
18990	human	CIB4	"mouse, laboratory"	Cib4
18991	human	TTC32	"mouse, laboratory"	Ttc32
18996	human	ZNF648	"mouse, laboratory"	Zfp648
18998	human	C10orf90	"mouse, laboratory"	D7Ertd443e
19002	human	DBX1	"mouse, laboratory"	Dbx1
19010	human	CEACAM20	"mouse, laboratory"	Ceacam20
19012	human	C2CD4C	"mouse, laboratory"	C2cd4c
19013	human	ZNF831	"mouse, laboratory"	Zfp831
19018	human	OTOL1	"mouse, laboratory"	Otol1
19019	human	SHISAL2B	"mouse, laboratory"	Shisal2b
19021	human	OC90	"mouse, laboratory"	Oc90
19023	human	COLCA2	"mouse, laboratory"	Colca2
19024	human	C14orf28	"mouse, laboratory"	Gm527
19025	human	PM20D2	"mouse, laboratory"	Pm20d2
19028	human	SLC38A8	"mouse, laboratory"	Slc38a8
19034	human	ATP8B3	"mouse, laboratory"	Atp8b3
19035	human	SYDE2	"mouse, laboratory"	Syde2
19036	human	RC3H1	"mouse, laboratory"	Rc3h1
19037	human	GPAT2	"mouse, laboratory"	Gpat2
19038	human	SANBR	"mouse, laboratory"	Sanbr
19041	human	LOC100505841	"mouse, laboratory"	1700034E13Rik
19046	human	KIAA2026	"mouse, laboratory"	9930021J03Rik
19055	human	FAM170B	"mouse, laboratory"	Fam170b
19056	human	PWWP2B	"mouse, laboratory"	Pwwp2b
19058	human	C15orf61	"mouse, laboratory"	2300009A05Rik
19060	human	BCL2L15	"mouse, laboratory"	Bcl2l15
19061	human	ISM1	"mouse, laboratory"	Ism1
19062	human	YDJC	"mouse, laboratory"	Ydjc
19063	human	GAREM2	"mouse, laboratory"	Garem2
19064	human	SH3D19	"mouse, laboratory"	Sh3d19
19065	human	IRX1	"mouse, laboratory"	Irx1
19067	human	CHD7	"mouse, laboratory"	Chd7
19076	human	ANKIB1	"mouse, laboratory"	Ankib1
19077	human	LRRC3C	"mouse, laboratory"	Lrrc3c
19078	human	KRT39	"mouse, laboratory"	Krt39
19080	human	NLRP1	"mouse, laboratory"	Nlrp1b
19082	human	SLFN14	"mouse, laboratory"	Slfn14
19108	human	DHRS7C	"mouse, laboratory"	Dhrs7c
19111	human	C1orf100	"mouse, laboratory"	1700016C15Rik
19115	human	ZNF518B	"mouse, laboratory"	Zfp518b
19123	human	SLC35D3	"mouse, laboratory"	Slc35d3
19127	human	SHC2	"mouse, laboratory"	Shc2
19128	human	SPRYD4	"mouse, laboratory"	Spryd4
19131	human	FAM161A	"mouse, laboratory"	Fam161a
19137	human	CFAP97D1	"mouse, laboratory"	Cfap97d1
19140	human	C17orf98	"mouse, laboratory"	1700001P01Rik
19144	human	FAM171A2	"mouse, laboratory"	Fam171a2
19151	human	RD3L	"mouse, laboratory"	Rd3l
19154	human	PSMG4	"mouse, laboratory"	Psmg4
19155	human	WNK2	"mouse, laboratory"	Wnk2
19164	human	SH2D4B	"mouse, laboratory"	Sh2d4b
19166	human	RNASE10	"mouse, laboratory"	Rnase10
19167	human	SAMD4A	"mouse, laboratory"	Samd4
19173	human	LARP4	"mouse, laboratory"	Larp4
19179	human	PTX4	"mouse, laboratory"	Ptx4
19180	human	EME2	"mouse, laboratory"	Eme2
19182	human	LRFN2	"mouse, laboratory"	Lrfn2
19183	human	LRRC73	"mouse, laboratory"	Lrrc73
19192	human	C5orf46	"mouse, laboratory"	Gm94
19195	human	SPINDOC	"mouse, laboratory"	Spindoc
19202	human	CAMSAP1	"mouse, laboratory"	Camsap1
19208	human	CRACDL	"mouse, laboratory"	Cracdl
19210	human	SNORC	"mouse, laboratory"	Snorc
19218	human	FAM209B	"mouse, laboratory"	Fam209
19221	human	MYBPHL	"mouse, laboratory"	Mybphl
19225	human	ARHGEF39	"mouse, laboratory"	Arhgef39
19229	human	MFSD2A	"mouse, laboratory"	Mfsd2a
19231	human	CD164L2	"mouse, laboratory"	Cd164l2
19232	human	CRYBG2	"mouse, laboratory"	Crybg2
19233	human	DRAXIN	"mouse, laboratory"	Draxin
19234	human	RNF207	"mouse, laboratory"	Rnf207
19235	human	ADGRA3	"mouse, laboratory"	Adgra3
19241	human	LAMTOR4	"mouse, laboratory"	Lamtor4
19243	human	C2orf68	"mouse, laboratory"	0610030E20Rik
19247	human	CLEC12B	"mouse, laboratory"	Clec12b
19251	human	RESF1	"mouse, laboratory"	Resf1
19252	human	FEZF1	"mouse, laboratory"	Fezf1
19256	human	CCDC61	"mouse, laboratory"	Ccdc61
19257	human	NCCRP1	"mouse, laboratory"	Nccrp1
19259	human	FAM71E1	"mouse, laboratory"	Fam71e1
19260	human	C19orf81	"mouse, laboratory"	1700008O03Rik
19263	human	TMEM219	"mouse, laboratory"	Tmem219
19268	human	LRRC27	"mouse, laboratory"	Lrrc27
19271	human	ERICH1	"mouse, laboratory"	Erich1
19272	human	MBOAT4	"mouse, laboratory"	Mboat4
19274	human	C16orf86	"mouse, laboratory"	4933405L10Rik
19278	human	PRSS54	"mouse, laboratory"	Prss54
19280	human	KIAA0895	"mouse, laboratory"	9530077C05Rik
19283	human	C15orf39	"mouse, laboratory"	1700017B05Rik
19285	human	KBTBD13	"mouse, laboratory"	Kbtbd13
19287	human	HHATL	"mouse, laboratory"	Hhatl
19318	human	MAP3K19	"mouse, laboratory"	Map3k19
19330	human	MIDEAS	"mouse, laboratory"	Mideas
19331	human	LRRC74A	"mouse, laboratory"	Lrrc74a
19354	human	C1QL4	"mouse, laboratory"	C1ql4
19361	human	CCDC154	"mouse, laboratory"	Ccdc154
19364	human	TDRD6	"mouse, laboratory"	Tdrd6
19365	human	TMEM151B	"mouse, laboratory"	Tmem151b
19366	human	BICRAL	"mouse, laboratory"	Bicral
19370	human	JCAD	"mouse, laboratory"	Jcad
19371	human	ASXL3	"mouse, laboratory"	Asxl3
19378	human	ZNF518A	"mouse, laboratory"	Zfp518a
19381	human	GPR158	"mouse, laboratory"	Gpr158
19382	human	ZBTB34	"mouse, laboratory"	Zbtb34
19385	human	LRRC55	"mouse, laboratory"	Lrrc55
19388	human	XIRP2	"mouse, laboratory"	Xirp2
19390	human	XKR7	"mouse, laboratory"	Xkr7
19395	human	ZC3H12B	"mouse, laboratory"	Zc3h12b
19397	human	RTL3	"mouse, laboratory"	Rtl3
19406	human	NXF3	"mouse, laboratory"	Nxf3
19407	human	IQSEC2	"mouse, laboratory"	Iqsec2
19408	human	TCEANC	"mouse, laboratory"	Tceanc
19426	human	LRIT3	"mouse, laboratory"	Lrit3
19431	human	VWA5B1	"mouse, laboratory"	Vwa5b1
19432	human	MYOM3	"mouse, laboratory"	Myom3
19435	human	RSBN1L	"mouse, laboratory"	Rsbn1l
19442	human	RNF216	"mouse, laboratory"	Rnf216
19471	human	ATXN1L	"mouse, laboratory"	Atxn1l
19472	human	IGSF9B	"mouse, laboratory"	Igsf9b
19477	human	UBAP1L	"mouse, laboratory"	Ubap1l
19478	human	FAM83B	"mouse, laboratory"	Fam83b
19480	human	TNFAIP8L3	"mouse, laboratory"	Tnfaip8l3
19481	human	INCA1	"mouse, laboratory"	Inca1
19482	human	SPATA13	"mouse, laboratory"	Spata13
19483	human	NYNRIN	"mouse, laboratory"	Nynrin
19484	human	CCDC191	"mouse, laboratory"	Ccdc191
19487	human	CPN2	"mouse, laboratory"	Cpn2
19490	human	KIAA1614	"mouse, laboratory"	BC034090
19492	human	TRNP1	"mouse, laboratory"	Trnp1
19503	human	RTP2	"mouse, laboratory"	Rtp2
19504	human	USF3	"mouse, laboratory"	Usf3
19505	human	SLC9C1	"mouse, laboratory"	Slc9c1
19509	human	ANKRD16	"mouse, laboratory"	Ankrd16
19511	human	BEND3	"mouse, laboratory"	Bend3
19512	human	PPP1R18	"mouse, laboratory"	Ppp1r18
19521	human	FAM171A1	"mouse, laboratory"	Fam171a1
19524	human	C2CD3	"mouse, laboratory"	C2cd3
19526	human	SUSD5	"mouse, laboratory"	Susd5
19527	human	EPGN	"mouse, laboratory"	Epgn
19528	human	MYADML2	"mouse, laboratory"	Myadml2
19529	human	ZBTB38	"mouse, laboratory"	Zbtb38
19533	human	HOXC6	"mouse, laboratory"	Hoxc6
19540	human	C8orf58	"mouse, laboratory"	9930012K11Rik
19542	human	DENND2C	"mouse, laboratory"	Dennd2c
19544	human	FBXO10	"mouse, laboratory"	Fbxo10
19545	human	ANKS6	"mouse, laboratory"	Anks6
19546	human	NAT8L	"mouse, laboratory"	Nat8l
19547	human	XRRA1	"mouse, laboratory"	Xrra1
19551	human	CALHM4	"mouse, laboratory"	Calhm4
19559	human	MEIOC	"mouse, laboratory"	Meioc
19560	human	ARHGEF40	"mouse, laboratory"	Arhgef40
19566	human	ANKDD1B	"mouse, laboratory"	Ankdd1b
19567	human	SHC4	"mouse, laboratory"	Shc4
19571	human	MCRIP1	"mouse, laboratory"	Mcrip1
19575	human	PLEKHM2	"mouse, laboratory"	Plekhm2
19583	human	LRRC10B	"mouse, laboratory"	Lrrc10b
19586	human	STKLD1	"mouse, laboratory"	Stkld1
19589	human	NEXMIF	"mouse, laboratory"	Nexmif
19596	human	RILP	"mouse, laboratory"	Rilp
19598	human	FUOM	"mouse, laboratory"	Fuom
19600	human	TMED8	"mouse, laboratory"	Tmed8
19603	human	TMEM150B	"mouse, laboratory"	Tmem150b
19617	human	ANKRD45	"mouse, laboratory"	Ankrd45
19618	human	CENPL	"mouse, laboratory"	Cenpl
19625	human	ZNF710	"mouse, laboratory"	Zfp710
19633	human	MROH7	"mouse, laboratory"	Mroh7
19635	human	HEATR5A	"mouse, laboratory"	Heatr5a
19641	human	CCDC33	"mouse, laboratory"	Ccdc33
19642	human	LCMT2	"mouse, laboratory"	Lcmt2
19652	human	ZNF865	"mouse, laboratory"	Zfp865
19662	human	TEAD2	"mouse, laboratory"	Tead2
19664	human	LRTOMT	"mouse, laboratory"	Tomt
19671	human	ZKSCAN2	"mouse, laboratory"	Zkscan2
19674	human	DNAH3	"mouse, laboratory"	Dnah3
19680	human	HPSE2	"mouse, laboratory"	Hpse2
19687	human	PWWP2A	"mouse, laboratory"	Pwwp2a
19697	human	PARP14	"mouse, laboratory"	Parp14
19711	human	DSTYK	"mouse, laboratory"	Dstyk
19716	human	KIAA0232	"mouse, laboratory"	D5Ertd579e
19719	human	OR6S1	"mouse, laboratory"	Olfr750
19736	human	PABPN1L	"mouse, laboratory"	Pabpn1l
19746	human	PAQR6	"mouse, laboratory"	Paqr6
19759	human	NHSL2	"mouse, laboratory"	Nhsl2
19773	human	PJVK	"mouse, laboratory"	Pjvk
19774	human	ANKRD63	"mouse, laboratory"	Ankrd63
19782	human	KIAA1549	"mouse, laboratory"	D630045J12Rik
19783	human	ZNF746	"mouse, laboratory"	Zfp746
19792	human	PCARE	"mouse, laboratory"	Pcare
19803	human	ADAMTSL5	"mouse, laboratory"	Adamtsl5
19806	human	ASCL4	"mouse, laboratory"	Ascl4
19813	human	FDXACB1	"mouse, laboratory"	Fdxacb1
19814	human	ANKRD34C	"mouse, laboratory"	Ankrd34c
19815	human	ADGRV1	"mouse, laboratory"	Adgrv1
19818	human	INKA1	"mouse, laboratory"	Inka1
19824	human	GLYATL3	"mouse, laboratory"	Glyatl3
19835	human	TOPAZ1	"mouse, laboratory"	Topaz1
19837	human	FBXO41	"mouse, laboratory"	Fbxo41
19844	human	FOXR1	"mouse, laboratory"	Foxr1
19853	human	MYORG	"mouse, laboratory"	Myorg
19857	human	CEACAM16	"mouse, laboratory"	Ceacam16
19876	human	OR2W3	"mouse, laboratory"	Olfr322
19879	human	SP6	"mouse, laboratory"	Sp6
19885	human	TMEM240	"mouse, laboratory"	Tmem240
19919	human	TVP23A	"mouse, laboratory"	Tvp23a
19922	human	GATC	"mouse, laboratory"	Gatc
19923	human	C1orf53	"mouse, laboratory"	2310009B15Rik
19936	human	ERMARD	"mouse, laboratory"	Ermard
19938	human	TTC9B	"mouse, laboratory"	Ttc9b
19940	human	TRPM1	"mouse, laboratory"	Trpm1
19943	human	AJM1	"mouse, laboratory"	Ajm1
19952	human	EFCAB7	"mouse, laboratory"	Efcab7
19960	human	RIPPLY2	"mouse, laboratory"	Ripply2
19997	human	RPRD2	"mouse, laboratory"	Rprd2
20002	human	SH2D5	"mouse, laboratory"	Sh2d5
20003	human	ZBTB42	"mouse, laboratory"	Zbtb42
20006	human	EPPK1	"mouse, laboratory"	Eppk1
20043	human	IQCF5	"mouse, laboratory"	Iqcf5
20046	human	PFN4	"mouse, laboratory"	Pfn4
20056	human	XKR9	"mouse, laboratory"	Xkr9
20057	human	ACADS	"mouse, laboratory"	Acads
20058	human	ACVRL1	"mouse, laboratory"	Acvrl1
20060	human	ALDOB	"mouse, laboratory"	Aldob
20063	human	ATP7B	"mouse, laboratory"	Atp7b
20064	human	AVPR2	"mouse, laboratory"	Avpr2
20065	human	BCHE	"mouse, laboratory"	Bche
20071	human	COL4A4	"mouse, laboratory"	Col4a4
20077	human	F13A1	"mouse, laboratory"	F13a1
20078	human	FUCA1	"mouse, laboratory"	Fuca1
20079	human	G6PC1	"mouse, laboratory"	G6pc
20081	human	GIPR	"mouse, laboratory"	Gipr
20083	human	GLRA1	"mouse, laboratory"	Glra1
20084	human	GNAT1	"mouse, laboratory"	Gnat1
20086	human	CFH	"mouse, laboratory"	Cfh
20088	human	HSD11B2	"mouse, laboratory"	Hsd11b2
20089	human	HSD17B3	"mouse, laboratory"	Hsd17b3
20090	human	INSR	"mouse, laboratory"	Insr
20091	human	ITGA6	"mouse, laboratory"	Itga6
20092	human	ITGB2	"mouse, laboratory"	Itgb2
20097	human	MMUT	"mouse, laboratory"	Mmut
20099	human	MYL3	"mouse, laboratory"	Myl3
20100	human	MYO5A	"mouse, laboratory"	Myo5a
20101	human	PFKM	"mouse, laboratory"	Pfkm
20103	human	SERPINA1	"mouse, laboratory"	Serpina1e
20104	human	PKD2	"mouse, laboratory"	Pkd2
20108	human	RPE65	"mouse, laboratory"	Rpe65
20113	human	SERPINA7	"mouse, laboratory"	Serpina7
20119	human	COL5A2	"mouse, laboratory"	Col5a2
20123	human	EGR2	"mouse, laboratory"	Egr2
20128	human	L1CAM	"mouse, laboratory"	L1cam
20132	human	SLC26A4	"mouse, laboratory"	Slc26a4
20135	human	AK1	"mouse, laboratory"	Ak1
20137	human	AQP2	"mouse, laboratory"	Aqp2
20138	human	ARSA	"mouse, laboratory"	Arsa
20139	human	SERPINC1	"mouse, laboratory"	Serpinc1
20144	human	EPX	"mouse, laboratory"	Epx
20146	human	HEXA	"mouse, laboratory"	Hexa
20147	human	HOXD13	"mouse, laboratory"	Hoxd13
20148	human	HTR1A	"mouse, laboratory"	Htr1a
20151	human	REN	"mouse, laboratory"	Ren1
20152	human	CD53	"mouse, laboratory"	Cd53
20155	human	GPX1	"mouse, laboratory"	Gpx1
20156	human	SPP1	"mouse, laboratory"	Spp1
20159	human	SERPINA5	"mouse, laboratory"	Serpina5
20162	human	ADH4	"mouse, laboratory"	Adh4
20165	human	ADORA1	"mouse, laboratory"	Adora1
20166	human	ADORA2A	"mouse, laboratory"	Adora2a
20167	human	ADORA2B	"mouse, laboratory"	Adora2b
20170	human	ADRA2C	"mouse, laboratory"	Adra2c
20171	human	ADRB1	"mouse, laboratory"	Adrb1
20172	human	AGTR2	"mouse, laboratory"	Agtr2
20175	human	ALDH3A1	"mouse, laboratory"	Aldh3a1
20179	human	AMY2A	"mouse, laboratory"	Amy1
20182	human	ATP4B	"mouse, laboratory"	Atp4b
20183	human	CA4	"mouse, laboratory"	Car4
20184	human	CACNA1B	"mouse, laboratory"	Cacna1b
20185	human	CACNA1E	"mouse, laboratory"	Cacna1e
20186	human	CACNB1	"mouse, laboratory"	Cacnb1
20187	human	CACNB3	"mouse, laboratory"	Cacnb3
20188	human	CACNB4	"mouse, laboratory"	Cacnb4
20189	human	CHRM1	"mouse, laboratory"	Chrm1
20190	human	CHRM2	"mouse, laboratory"	Chrm2
20191	human	CHRM3	"mouse, laboratory"	Chrm3
20192	human	CHRM4	"mouse, laboratory"	Chrm4
20193	human	CHRNA2	"mouse, laboratory"	Chrna2
20196	human	CHRNB4	"mouse, laboratory"	Chrnb4
20215	human	DRD4	"mouse, laboratory"	Drd4
20216	human	DRD5	"mouse, laboratory"	Drd5
20217	human	GABRA2	"mouse, laboratory"	Gabra2
20218	human	GABRA3	"mouse, laboratory"	Gabra3
20219	human	GABRA5	"mouse, laboratory"	Gabra5
20220	human	GABRA6	"mouse, laboratory"	Gabra6
20221	human	GABRB1	"mouse, laboratory"	Gabrb1
20223	human	GAD2	"mouse, laboratory"	Gad2
20224	human	GLRB	"mouse, laboratory"	Glrb
20225	human	GRIA2	"mouse, laboratory"	Gria2
20226	human	GRIA1	"mouse, laboratory"	Gria1
20227	human	GRIA4	"mouse, laboratory"	Gria4
20229	human	GRM2	"mouse, laboratory"	Grm2
20230	human	GRM4	"mouse, laboratory"	Grm4
20232	human	GRM6	"mouse, laboratory"	Grm6
20233	human	GRM7	"mouse, laboratory"	Grm7
20240	human	HTR1D	"mouse, laboratory"	Htr1d
20242	human	HTR2C	"mouse, laboratory"	Htr2c
20243	human	HTR4	"mouse, laboratory"	Htr4
20244	human	HTR7	"mouse, laboratory"	Htr7
20247	human	ITGB7	"mouse, laboratory"	Itgb7
20248	human	KCNJ5	"mouse, laboratory"	Kcnj5
20249	human	KCNJ2	"mouse, laboratory"	Kcnj2
20251	human	MAOB	"mouse, laboratory"	Maob
20252	human	OPRD1	"mouse, laboratory"	Oprd1
20253	human	OPRK1	"mouse, laboratory"	Oprk1
20255	human	OXTR	"mouse, laboratory"	Oxtr
20256	human	PDE4C	"mouse, laboratory"	Pde4c
20260	human	PTAFR	"mouse, laboratory"	Ptafr
20261	human	PTGER4	"mouse, laboratory"	Ptger4
20262	human	RARA	"mouse, laboratory"	Rara
20263	human	RARG	"mouse, laboratory"	Rarg
20277	human	RRM2	"mouse, laboratory"	Rrm2
20280	human	SCNN1G	"mouse, laboratory"	Scnn1g
20283	human	SLC12A2	"mouse, laboratory"	Slc12a2
20285	human	SSTR3	"mouse, laboratory"	Sstr3
20286	human	SSTR4	"mouse, laboratory"	Sstr4
20287	human	SSTR5	"mouse, laboratory"	Sstr5
20288	human	TACR1	"mouse, laboratory"	Tacr1
20312	human	ANXA5	"mouse, laboratory"	Anxa5
20318	human	ARHGDIB	"mouse, laboratory"	Arhgdib
20319	human	ARL1	"mouse, laboratory"	Arl1
20320	human	BCAT1	"mouse, laboratory"	Bcat1
20322	human	BMPR1B	"mouse, laboratory"	Bmpr1b
20324	human	CA6	"mouse, laboratory"	Car6
20325	human	CA9	"mouse, laboratory"	Car9
20327	human	CA12	"mouse, laboratory"	Car12
20329	human	CASQ1	"mouse, laboratory"	Casq1
20330	human	CASQ2	"mouse, laboratory"	Casq2
20331	human	SERPINH1	"mouse, laboratory"	Serpinh1
20332	human	CBR3	"mouse, laboratory"	Cbr3
20333	human	ENTPD2	"mouse, laboratory"	Entpd2
20335	human	CDH13	"mouse, laboratory"	Cdh13
20342	human	AP1S1	"mouse, laboratory"	Ap1s1
20343	human	CLIC1	"mouse, laboratory"	Clic1
20344	human	CCR1	"mouse, laboratory"	Ccr1
20347	human	CRMP1	"mouse, laboratory"	Crmp1
20350	human	CX3CR1	"mouse, laboratory"	Cx3cr1
20352	human	DGKQ	"mouse, laboratory"	Dgkq
20353	human	DAPK3	"mouse, laboratory"	Dapk3
20357	human	DNAH9	"mouse, laboratory"	Dnah9
20359	human	DPYS	"mouse, laboratory"	Dpys
